Business_TrendingSkills,Technology_TrendingSkills,Data Science_TrendingSkills,Coursera Learners (in millions),Coursera Learners Median Age,GDP spent on Education,Internet Penetration,Learning on Mobile,Female Learners
Strategy and Operations,Theoretical Computer Science,Python Programming,22.7,28.0,0.043,0.6,0.59,0.4
Microsoft Excel,C Programming,Statistical Machine Learning,,,,,,
Digital Marketing,Programming Principles,Machine Learning,,,,,,
Data Analysis,Data Structures,Probability & Statistics,,,,,,
Finance,Web Development,Applied Machine Learning,,,,,,
Project Management,Design and Product,Data Management,,,,,,
Marketing,Microarchitecture,Econometrics,,,,,,
Blockchain,JavaScript,Deep Learning,,,,,,
Tableau Sofware,Internet of Things,SQL,,,,,,
Leadership and Management,,,,,,,,
