Region,Business,Technology,Data Science,Overall Rank,Overall Rank Business,Overall Rank Technology,Overall Rank Data Science
Australia,0.31,0.61,0.74,44,75,44,29
Bangladesh,0.59,0.38,0.38,64,46,67,67
Bhutan,0.18,0.14,0.03,100,89,93,106
China,0.85,0.21,0.81,39,17,85,21
Hong Kong,0.86,0.51,0.92,23,16,54,10
India,0.5,0.38,0.38,67,55,66,66
Indonesia,0.46,0.78,0.46,45,60,25,57
Japan,0.7,1.0,0.88,4,34,1,14
Kazakhstan,0.34,0.36,0.2,81,72,69,87
Kyrgyzstan,0.23,0.3,0.21,86,83,75,86
Malaysia,0.53,0.56,0.52,46,52,48,51
Myanmar,0.35,0.42,0.15,79,71,63,92
Nepal,0.33,0.53,0.5,62,73,52,53
New Zealand,0.24,0.68,0.79,41,82,36,23
Pakistan,0.51,0.5,0.29,65,54,55,76
Philippines,0.57,0.29,0.44,69,48,77,60
Republic of Korea,0.49,0.37,0.58,63,56,68,45
Singapore,0.75,0.96,0.86,10,28,5,16
Sri Lanka,0.42,0.85,0.49,40,64,17,54
Taiwan,0.63,0.71,0.83,25,41,33,19
Thailand,0.19,0.39,0.46,76,88,65,58
Uzbekistan,0.04,0.06,0.09,104,105,102,99
Vietnam,0.88,0.88,0.61,20,14,13,42
