Region,Business,Technology,Data Science,Overall Rank,Overall Rank Business,Overall Rank Technology,Overall Rank Data Science
Armenia,0.71,0.23,0.6,57,33,83,43
Austria,0.95,0.88,0.95,3,6,14,7
Azerbaijan,0.93,0.13,0.24,72,8,95,82
Belarus,0.54,0.99,0.91,12,50,2,11
Belgium,0.83,0.86,0.98,6,19,16,3
Bulgaria,0.76,0.95,0.75,15,27,6,28
Croatia,0.73,0.83,0.78,21,30,19,25
Czech Republic,0.62,0.97,0.9,13,43,3,12
Denmark,0.84,0.87,0.99,8,18,15,2
Estonia,0.67,0.63,0.59,36,37,41,44
Finland,0.63,0.9,1.0,14,42,11,1
France,0.61,0.7,0.79,28,44,34,24
Georgia,0.72,0.21,0.39,70,31,86,65
Germany,0.91,0.89,0.94,5,10,12,8
Greece,0.8,0.73,0.71,22,22,30,32
Hungary,0.55,0.96,0.84,18,49,4,18
Ireland,0.37,0.79,0.65,34,69,23,37
Italy,0.79,0.91,0.72,16,23,10,31
Latvia,0.68,0.72,0.77,24,36,31,26
Lithuania,0.45,0.52,0.63,48,61,53,39
Luxembourg,1.0,0.62,0.85,2,1,43,17
Netherlands,0.71,0.79,0.93,17,32,24,9
Norway,0.96,0.63,0.88,11,4,42,13
Poland,0.52,0.64,0.76,30,53,40,27
Portugal,0.54,0.8,0.55,31,51,22,47
Romania,0.3,0.65,0.62,49,76,39,41
Russia,0.79,0.92,0.97,9,24,9,4
Serbia,0.43,0.76,0.68,33,63,27,35
Slovakia,0.46,0.54,0.66,47,59,51,36
Spain,0.44,0.59,0.87,32,62,45,15
Sweden,0.89,0.82,0.96,7,12,20,5
Switzerland,0.98,0.84,0.96,1,3,18,6
Turkey,0.65,0.47,0.37,60,39,58,68
Ukraine,0.36,0.93,0.82,27,70,8,20
United Kingdom,0.29,0.57,0.69,51,77,47,34
