Business_TrendingSkills,Technology_TrendingSkills,Data Science_TrendingSkills,Coursera Learners (in millions),Coursera Learners Median Age,GDP spent on Education,Internet Penetration,Learning on Mobile,Female Learners
Strategy and Operations,JavaScript,Python Programming,14.5,31.0,5.0,0.62,0.51,0.49
Microsoft Excel,Design and Product,Statistical Machine Learning,,,,,,
Marketing,Algebra,Data Management,,,,,,
Digital Marketing,Mathematics,Probability & Statistics,,,,,,
Project Management,HTML,Machine Learning,,,,,,
Entrepreneurial Finance,User Experience,Machine Learning Algorithms,,,,,,
Business Analysis,Scrum (Sofware Development),Data Visualization Sofware,,,,,,
Budget Management,,Applied Machine Learning,,,,,,
Customer Analysis,,Big Data,,,,,,
Finance,,SQL,,,,,,
