Region,Business,Technology,Data Science,Overall Rank,Overall Rank Business,Overall Rank Technology,Overall Rank Data Science
Argentina,0.13,0.25,0.54,82,94,81,48
Barbados,0.6,0.94,0.29,26,45,7,77
Bolivia,0.15,0.04,0.23,97,92,105,83
Brazil,0.14,0.48,0.22,83,93,57,84
Chile,0.08,0.19,0.42,89,100,88,62
Colombia,0.13,0.11,0.45,91,95,97,59
Costa Rica,0.21,0.49,0.53,68,85,56,50
Dominican Republic,0.21,0.18,0.14,92,86,89,93
Ecuador,0.09,0.12,0.43,93,99,96,61
El Salvador,0.2,0.34,0.28,84,87,71,78
Guatemala,0.16,0.04,0.13,99,91,104,94
Guyana,0.06,0.08,0.02,107,102,100,107
Honduras,0.1,0.09,0.16,98,98,99,91
Mexico,0.03,0.1,0.26,102,106,98,80
Nicaragua,0.07,0.17,0.12,96,101,90,96
Panama,0.05,0.13,0.07,101,103,94,101
Paraguay,0.02,0.07,0.11,106,107,101,97
Peru,0.22,0.46,0.47,74,84,59,56
Puerto Rico,0.12,0.16,0.3,94,96,91,75
Saint Lucia,0.29,0.66,0.04,85,78,38,105
Trinidad and Tobago,0.47,0.71,0.41,50,58,32,63
Uruguay,0.17,0.27,0.56,78,90,79,46
Venezuela,0.38,0.4,0.63,61,68,64,40
