Region,Accounting,Communications,Entrepreneurship,Finance,Human Resources,Leadership,Marketing,Sales,"Strategy &
Operations",Cloud Computing,Computer Networking,Computer Programming,Databases,Mobile Development,Operating Systems,Security Engineering,Software Engineering,Theoretical Computer Science,Web Development,Data Analysis,Data Management,Data Visualization,Machine Learning,Mathematics,Probability & Statistics,Statistical Programming
Argentina,0.9,0.11,0.21,0.59,0.21,0.07,0.11,0.08,0.04,0.56,0.36,0.8,0.72,0.89,0.45,0.09,0.13,0.27,0.28,1.0,0.31,0.13,0.38,0.21,0.26,0.91
Barbados,0.6,0.38,0.79,0.14,0.82,0.71,0.86,0.75,0.54,0.58,0.4,0.92,1.0,1.0,0.83,0.76,0.34,0.9,0.41,0.72,0.99,0.02,0.05,0.53,1.0,0.08
Bolivia,0.96,0.16,0.28,0.21,0.09,0.09,0.15,0.09,0.21,0.07,0.06,0.37,0.21,0.92,0.13,0.02,0.03,0.12,0.17,0.97,0.13,0.07,0.09,0.26,0.15,0.69
Brazil,0.29,0.27,0.06,0.78,0.22,0.13,0.29,0.18,0.08,0.98,0.27,0.64,0.49,0.3,0.3,0.33,0.57,0.3,0.09,0.06,0.59,0.38,0.44,0.18,0.18,0.44
Chile,0.95,0.01,0.47,0.04,0.07,0.04,0.3,0.02,0.11,0.36,0.03,0.97,0.64,0.78,0.41,0.05,0.13,0.14,0.1,0.96,0.06,0.08,0.22,0.17,0.05,0.98
Colombia,0.91,0.14,0.42,0.13,0.63,0.13,0.1,0.26,0.05,0.44,0.19,0.41,0.76,0.72,0.26,0.07,0.12,0.1,0.15,0.93,0.51,0.16,0.3,0.13,0.28,0.88
Costa Rica,0.58,0.18,0.43,0.11,0.44,0.26,0.35,0.31,0.55,0.39,0.6,0.63,0.66,0.67,0.97,0.35,0.43,0.25,0.37,0.88,0.4,0.31,0.4,0.33,0.33,0.79
Dominican Republic,0.77,0.25,0.44,0.24,0.46,0.11,0.25,0.2,0.53,0.48,0.26,0.2,0.4,0.44,0.38,0.14,0.46,0.35,0.13,0.85,0.13,0.09,0.2,0.16,0.13,0.34
Ecuador,0.79,0.28,0.77,0.05,0.21,0.03,0.18,0.13,0.09,0.15,0.09,0.66,0.88,0.9,0.37,0.08,0.06,0.13,0.31,0.86,0.11,0.15,0.12,0.44,0.5,0.93
El Salvador,0.82,0.13,0.55,0.1,0.3,0.21,0.34,0.12,0.39,0.38,0.31,0.38,0.77,0.84,0.99,0.21,0.2,0.19,0.55,0.96,0.35,0.17,0.17,0.1,0.43,0.28
Guatemala,0.68,0.09,0.56,0.19,0.18,0.18,0.38,0.1,0.2,0.26,0.04,0.18,0.32,0.83,0.16,0.01,0.08,0.04,0.38,0.87,0.14,0.06,0.13,0.15,0.14,0.33
Guyana,0.25,0.23,0.07,0.34,0.11,0.14,0.17,0.11,0.14,0.05,0.07,0.26,0.41,0.04,0.19,0.66,0.04,0.06,0.81,0.17,0.03,0.13,0.04,0.03,0.01,0.37
Honduras,0.69,0.24,0.32,0.09,0.45,0.1,0.13,0.19,0.16,0.12,0.02,0.32,0.36,0.99,0.29,0.06,0.02,0.03,0.13,0.98,0.08,0.14,0.07,0.13,0.17,0.32
Mexico,0.71,0.2,0.3,0.03,0.01,0.06,0.04,0.06,0.03,0.29,0.13,0.21,0.45,0.94,0.55,0.03,0.01,0.05,0.19,0.99,0.07,0.04,0.06,0.24,0.72,0.54
Nicaragua,0.84,0.19,0.27,0.37,0.1,0.02,0.06,0.21,0.06,0.72,0.29,0.4,0.31,0.96,0.5,0.1,0.05,0.08,0.05,0.89,0.1,0.05,0.18,0.09,0.09,0.31
Panama,0.62,0.05,0.11,0.31,0.06,0.04,0.08,0.04,0.07,0.11,0.56,0.33,0.7,0.65,0.47,0.15,0.11,0.09,0.11,0.88,0.04,0.21,0.1,0.08,0.02,0.39
Paraguay,0.46,0.03,0.02,0.17,0.04,0.01,0.04,0.01,0.01,0.16,0.1,0.61,0.79,0.79,0.03,0.04,0.17,0.13,0.2,0.84,0.05,0.04,0.13,0.04,0.06,0.85
Peru,0.88,0.04,0.78,0.2,0.27,0.23,0.16,0.22,0.35,0.9,0.3,0.65,0.99,0.85,0.93,0.18,0.09,0.2,0.51,0.95,0.38,0.11,0.21,0.22,0.41,0.92
Puerto Rico,0.63,0.21,0.18,0.23,0.36,0.15,0.22,0.05,0.12,0.33,0.28,0.27,0.05,0.29,0.06,0.31,0.29,0.22,0.42,0.16,0.29,0.41,0.38,0.27,0.38,0.38
Saint Lucia,0.86,0.54,0.39,0.18,0.08,0.68,0.13,0.04,0.76,0.01,0.98,0.99,0.04,0.01,0.77,0.79,0.39,1.0,0.3,0.48,0.92,0.69,0.02,0.04,0.03,0.01
Trinidad and Tobago,0.5,0.46,0.54,0.29,0.57,0.65,0.61,0.46,0.47,0.87,0.81,0.89,0.46,0.06,0.78,0.97,0.28,0.37,0.57,0.63,0.21,0.18,0.27,0.49,0.89,0.65
Uruguay,0.64,0.17,0.35,0.6,0.38,0.2,0.24,0.07,0.13,0.51,0.8,0.63,0.21,0.82,0.17,0.13,0.37,0.29,0.16,0.9,0.3,0.2,0.53,0.25,0.44,0.82
Venezuela,0.81,0.43,0.53,0.61,0.39,0.19,0.33,0.21,0.29,0.29,0.12,0.88,0.68,0.91,0.94,0.21,0.21,0.32,0.95,0.94,0.37,0.22,0.31,0.38,0.53,0.96
