Unnamed: 0,Business,Technology,Data Science,Overall Rank,Overall Rank Business,Overall Rank Technology,Overall Rank Data Science
,,,,,,,
,,,,,,,
Region,Business,Technology,Data Science,Overall Rank,Overall Rank Business,Overall Rank Technology,Overall Rank Data Science
Algeria,0.04,0.31,0.21,95,104,74,85
Egypt,0.58,0.44,0.54,53,47,61,49
Iraq,0.26,0.03,0.06,103,80,106,102
Israel,0.25,0.74,0.8,38,81,29,22
Jordan,0.74,0.28,0.25,71,29,78,81
Kuwait,0.81,0.43,0.32,54,21,62,73
Lebanon,0.9,0.32,0.33,59,11,73,72
Morocco,0.39,0.35,0.36,75,66,70,69
Oman,0.38,0.24,0.1,88,67,82,98
Qatar,0.82,0.45,0.27,56,20,60,79
Saudi Arabia,0.88,0.54,0.18,52,13,50,89
Sudan,0.28,0.26,0.17,87,79,80,90
Tunisia,0.48,0.77,0.48,43,57,26,55
United Arab Emirates,0.99,0.33,0.34,35,2,72,71
