Region,Accounting,Communications,Entrepreneurship,Finance,Human Resources,Leadership,Marketing,Sales,"Strategy &
Operations",Cloud Computing,Computer Networking,Computer Programming,Databases,Mobile Development,Operating Systems,Security Engineering,Software Engineering,Theoretical Computer Science,Web Development,Data Analysis,Data Management,Data Visualization,Machine Learning,Mathematics,Probability & Statistics,Statistical Programming
Algeria,0.01,0.4,0.04,0.06,0.48,0.12,0.12,0.13,0.18,0.5,0.64,0.29,0.14,0.32,0.23,0.6,0.16,0.38,0.45,0.2,0.19,0.89,0.33,0.36,0.22,0.21
Egypt,0.51,0.88,0.59,0.16,0.88,0.7,0.44,0.45,0.71,0.08,0.41,0.29,0.33,0.96,0.27,0.54,0.7,0.57,0.63,0.81,0.54,0.85,0.45,0.61,0.45,0.27
Iraq,0.05,0.81,0.49,0.04,0.98,0.48,0.03,0.16,0.22,0.06,0.22,0.05,0.01,0.04,0.04,0.23,0.07,0.16,0.01,0.1,0.04,0.51,0.11,0.12,0.16,0.07
Israel,0.21,0.3,0.09,0.74,0.68,0.21,0.36,0.29,0.13,0.49,0.48,0.72,0.81,0.24,0.7,0.87,0.69,0.95,0.47,0.19,0.58,0.68,0.94,0.85,0.88,0.6
Jordan,0.94,0.41,0.63,0.46,0.78,0.78,0.52,0.7,0.7,0.14,0.23,0.15,0.06,0.13,0.2,0.95,0.44,0.45,0.33,0.46,0.24,0.29,0.41,0.31,0.29,0.06
Kuwait,0.89,0.55,0.84,0.79,0.65,0.8,0.54,0.69,0.81,0.13,0.34,0.19,0.75,0.47,0.82,0.92,0.63,0.56,0.29,0.34,0.42,0.23,0.39,0.63,0.3,0.18
Lebanon,0.76,0.71,0.9,0.82,0.37,0.84,0.88,0.83,0.84,0.27,0.63,0.21,0.25,0.19,0.36,0.36,0.45,0.43,0.62,0.36,0.23,0.27,0.36,0.45,0.38,0.21
Morocco,0.12,0.67,0.46,0.38,0.63,0.63,0.27,0.28,0.75,0.34,0.5,0.23,0.17,0.63,0.29,0.38,0.36,0.47,0.44,0.23,0.46,0.76,0.46,0.43,0.27,0.12
Oman,0.48,0.35,0.64,0.39,0.43,0.55,0.2,0.42,0.67,0.31,0.17,0.09,0.63,0.05,0.91,0.88,0.21,0.34,0.21,0.14,0.2,0.54,0.29,0.19,0.07,0.13
Qatar,0.85,0.53,0.74,0.52,0.66,0.79,0.73,0.71,0.92,0.32,0.79,0.22,0.2,0.57,0.69,0.81,0.53,0.38,0.26,0.45,0.39,0.35,0.34,0.42,0.21,0.14
Saudi Arabia,0.55,0.68,0.92,0.49,0.76,0.97,0.69,0.88,0.91,0.13,0.78,0.14,0.37,0.08,1.0,1.0,0.52,0.41,0.04,0.28,0.22,0.25,0.32,0.3,0.35,0.1
Sudan,0.38,0.44,0.23,0.07,0.29,0.57,0.21,0.39,0.9,0.04,0.85,0.07,0.69,0.88,0.44,0.96,0.31,0.17,0.08,0.51,0.12,0.75,0.19,0.11,0.68,0.09
Tunisia,0.17,0.71,0.69,0.29,0.77,0.61,0.09,0.17,0.79,0.62,0.91,0.45,0.82,0.88,0.88,0.61,0.78,0.52,0.43,0.27,0.74,0.52,0.59,0.4,0.37,0.29
United Arab Emirates,0.83,1.0,0.99,0.68,0.74,1.0,0.91,0.95,0.97,0.21,0.53,0.1,0.29,0.15,0.63,0.77,0.59,0.28,0.6,0.82,0.46,0.55,0.24,0.46,0.13,0.17
