Business_TrendingSkills,Technology_TrendingSkills,Data Science_TrendingSkills,Coursera Learners (in millions),Coursera Learners Median Age,GDP spent on Education,Internet Penetration,Learning on Mobile,Female Learners
Strategy and Operations,Theoretical Computer Science,Python Programming,17.0,34.0,0.052,0.89,0.41,0.51
Microsoft Excel,Programming Principles,Statistical Machine Learning,,,,,,
Project Management,Design and Product,Probability & Statistics,,,,,,
Data Analysis,C Programming,Machine Learning,,,,,,
Accounting,Mathematics,Data Management,,,,,,
Writing,User Experience,Machine Learning Algorithms,,,,,,
Finance,JavaScript,Applied Machine Learning,,,,,,
Marketing,Computational Thinking,SQL,,,,,,
Tableau Sofware,Data Structures,Data Visualization Sofware,,,,,,
Digital Marketing,Graphic Design,Econometrics,,,,,,
