Business_TrendingSkills,Technology_TrendingSkills,Data Science_TrendingSkills,Coursera Learners (in millions),Coursera Learners Median Age,GDP spent on Education,Internet Penetration,Learning on Mobile,Female Learners
Strategy and Operations,Theoretical Computer Science,Python Programming,2.4,33.0,0.047,0.28,0.66,0.35
Project Management,Design and Product,Statistical Machine Learning,,,,,,
Microsoft Excel,Programming Principles,Probability & Statistics,,,,,,
Digital Marketing,Web Development,Machine Learning,,,,,,
Data Analysis,Graphic Design,Data Management,,,,,,
Leadership and Management,JavaScript,Machine Learning Algorithms,,,,,,
Marketing,C Programming,Statistical Visualization,,,,,,
Finance,Computational Thinking,Applied Machine Learning,,,,,,
Accounting,Computer Programming,Econometrics,,,,,,
Human Resources,Microarchitecture,SQL,,,,,,
