Region,Business,Technology,Data Science,Overall Rank,Overall Rank Business,Overall Rank Technology,Overall Rank Data Science
Botswana,0.92,0.05,0.05,90,9,103,103
Cameroon,0.94,0.75,0.64,19,7,28,38
Ethiopia,0.32,0.81,0.35,58,74,21,70
Ghana,0.77,0.29,0.13,73,26,76,95
Kenya,0.69,0.22,0.19,77,35,84,88
Nigeria,0.87,0.15,0.08,80,15,92,100
Rwanda,0.78,0.2,0.4,66,25,87,64
Sierra Leone,0.41,0.02,0.04,105,65,107,104
Somalia,0.01,0.01,0.01,108,108,108,108
South Africa,0.66,0.58,0.51,42,38,46,52
Uganda,0.96,0.55,0.31,37,5,49,74
